cycle,mean_success,std_success,mean_actions,std_actions
0,0.27,0.11595018087284058,0.0,0.0
1,0.42000000000000004,0.2780887148615228,19.9,0.31622776601683783
2,0.48,0.3552776691859794,37.9,6.640783086353597
3,0.4999999999999999,0.3858612300930075,55.1,12.801475609388856
4,0.5,0.28284271247461906,69.1,20.239949494886478
5,0.52,0.2699794230842212,83.1,29.01895931972751
6,0.5299999999999999,0.28303906287138375,97.1,38.22579117704578
7,0.54,0.30623157540948936,111.1,47.61290674689888
8,0.4700000000000001,0.38600518131237566,125.1,57.09144711192154
9,0.43999999999999995,0.31692971530679237,139.1,66.62240197144233
10,0.5599999999999999,0.2633122354417533,153.1,76.1861025530393
11,0.4499999999999999,0.30641293851417056,167.1,85.77159592001695
12,0.4699999999999999,0.3368151487751767,181.1,95.3723113790254
13,0.53,0.3164033993355809,195.1,104.98407286610455
14,0.49000000000000005,0.3034981237357343,209.1,114.60410114825734
15,0.51,0.3314949304120485,223.1,124.23047577430873
16,0.48,0.39101008796307146,237.1,133.86182760178085
17,0.5200000000000001,0.2973961069759395,251.1,143.49715444333148
18,0.53,0.2830390628713837,265.1,153.13570597494385
19,0.5199999999999999,0.3155242550986462,279.1,162.77690936438813
20,0.5000000000000001,0.31972210155418135,293.1,172.42031976152538
21,0.48,0.3155242550986462,307.1,182.06558647305584
22,0.52,0.2699794230842212,321.1,191.7124293194251
23,0.52,0.3359894178227774,335.1,201.36062177099078
24,0.49000000000000005,0.2726414006223804,349.1,211.0099787003238
25,0.57,0.26267851073127396,363.1,220.66034734153956
26,0.5200000000000001,0.30477678535099895,377.1,230.31160051837014
27,0.4699999999999999,0.27908580918579307,391.1,239.96363150370186
28,0.52,0.3489667287547307,405.1,249.61635006990673
29,0.4699999999999999,0.29458068127047604,419.1,259.26967942022577
30,0.48999999999999994,0.3348299734359382,433.1,268.9235537802105
31,0.45999999999999996,0.32386554137309653,447.1,278.57791648936495
32,0.44000000000000006,0.33399933466334264,461.1,288.2327184758871
33,0.53,0.3093002855909879,475.1,297.8879170277155
34,0.5700000000000001,0.266874918683308,489.1,307.54347479484727
35,0.43999999999999995,0.3470510689285432,503.1,317.19935897371124
36,0.48,0.3489667287547307,517.1,326.85554063598875
37,0.51,0.28848262031225075,531.1,336.5119941729005
38,0.6199999999999999,0.25298221281347033,545.1,346.16869683243556
39,0.4999999999999999,0.27888667551135854,559.1,355.8256283318808
40,0.4600000000000001,0.23190036174568116,573.1,365.4827705317387
41,0.57,0.2750757471437034,587.1,375.14010715997824
42,0.48,0.32930904093942587,601.1,384.7976235777855
43,0.5,0.30912061651652345,615.1,394.4553065797048
44,0.56,0.3470510689285432,629.1,404.11314422242367
45,0.48999999999999994,0.30713731999438515,643.1,413.77112567752283
46,0.48,0.33928028399998594,657.1,423.4292411043694
47,0.47000000000000003,0.32676869155073257,671.1,433.0874815400079
48,0.55,0.32403703492039304,685.1,442.7458388034582
49,0.45999999999999996,0.3687817782917155,699.1,452.4043054122668
50,0.52,0.31902629637347735,713.1,462.0628745095195
51,0.5700000000000001,0.3301514803843836,727.1,471.7215397998178
52,0.4499999999999999,0.3171049598406741,741.1,481.38029549295936
53,0.52,0.3614784456460256,755.1,491.0391362542637
54,0.48999999999999994,0.32812599206199233,769.1,500.69805716064496
55,0.48999999999999994,0.3281259920619924,783.1,510.35705366167144
56,0.47000000000000003,0.34009802508492554,797.1,520.016121544964
57,0.49000000000000005,0.2884826203122507,811.1,529.6752569053776
58,0.5,0.33665016461206926,825.1,539.3344561174962
59,0.44000000000000006,0.3272783388968954,839.1,548.9937158110282
60,0.52,0.28205594401741574,853.1,558.653032848754
61,0.54,0.2988868236194653,867.1,568.3124043067237
62,0.51,0.2806737924669451,881.1,577.9718274564369
63,0.49000000000000005,0.29230881691191674,895.1,587.6312997487832
64,0.5199999999999999,0.322490309931942,909.1,597.2908187995378
65,0.53,0.3368151487751767,923.1,606.9503823762421
66,0.5700000000000001,0.294580681270476,937.1,616.6099883863201
67,0.45,0.3689323936863109,951.1,626.2696348662895
68,0.51,0.29608557321603274,965.1,635.9293199719602
69,0.5399999999999999,0.28751811537130434,979.1,645.5890419695111
70,0.5599999999999999,0.30258148581093913,993.1,655.2487992273536
71,0.51,0.36347092196090613,1007.1,664.9085902087094
72,0.51,0.28848262031225075,1021.1,674.5684134648201
73,0.5,0.3620926830400072,1035.1,684.2282676287368
74,0.48999999999999994,0.34464152068167553,1049.1,693.888151409625
75,0.43000000000000005,0.3128720008068617,1063.1,703.5480635875404
76,0.52,0.2973961069759395,1077.1,713.2080030086283
77,0.48999999999999994,0.3510302297840205,1091.1,722.8679685807083
78,0.51,0.29230881691191674,1105.1,732.5279592692084
79,0.55,0.2718251071716682,1119.1,742.187974093416
80,0.49000000000000005,0.31073389830457115,1133.1,751.8480121230177
81,0.48,0.30840089349921007,1147.1,761.5080724749046
82,0.5,0.33993463423951903,1161.1,771.168154310214
83,0.51,0.31428932176861785,1175.1,780.8282568315944
